"AID","GSWGT4_2"
"57101310",2936.707072631
"57103869",9388.942184439
"57109625",7918.203020084
"57111071",3850.820386516
"57113943",8559.854200479
"57117542",7433.432646886
"57118381",6576.599108894
"57118943",4507.049315899
"57120005",5600.546710648
"57120046",1357.87511821
"57120371",7273.718859902
"57121404",4507.049315899
"57121476",5159.979892502
"57127241",2429.205765735
"57129567",617.853317992
"57131432",4937.838117418
"57131909",3733.81699822
"57133772",5176.518155261
"57134457",3682.518918849
"57134967",3988.496278742
"57134970",3534.287411192
"57135078",2364.399858792
"57136630",1979.392827696
"57138056",5878.858264232
"57139880",5130.763969422
"57141051",6119.310844967
"57141800",4321.147830412
"57144659",4425.439933963
"57145151",1301.562245985
"57145731",3563.043584258
"57146734",5133.009861911
"57153160",10947.488645269
"57154249",2182.55235519
"57154779",3988.496278742
"57157723",6607.170702534
"57159779",5637.336678272
"57159952",4507.049315899
"57160648",5597.866101256
"57163116",3085.836433516
"57163657",6341.079564807
"57165081",2552.986225352
"57165288",6039.886602834
"57166019",15049.667047148
"57166463",808.642567528
"57167951",5055.715488254
"57177419",5709.308944895
"57177942",2557.115388798
"57178110",3733.81699822
"57178982",1135.797624845
"57179591",2595.709097552
"57185559",7029.296392029
"57186150",4507.049315899
"57186582",2099.0457047
"57188247",1295.530519648
"57191909",4102.646346634
"57191910",4030.210574033
"57192841",4944.021790159
"57193349",3940.042773745
"57196641",4357.562125377
"57197327",5597.866101256
"57198440",1794.052040608
"57199896",4635.990511589
"57200870",6129.636818148
"57203993",6119.310844967
"57210612",430.935960579
"57211375",4944.021790159
"57212347",8360.573385483
"57212679",5731.877799403
"57212861",2601.933204545
"57213037",6117.240877176
"57213527",3719.31173383
"57214806",2726.664479838
"57214893",1405.838797887
"57217465",6023.014189018
"57217613",15049.667047148
"57218874",3870.256995817
"57220133",6808.22381466
"57220692",3956.805280672
"57220955",4507.049315899
"57228523",3826.882336702
"57230663",3657.92642835
"57230940",7600.073456297
"57231300",4244.372328859
"57231320",4507.049315899
"57231603",1849.712392062
"57232895",4357.562125377
"57233403",3769.634057332
"57234514",4102.646346634
