"ResidentMotherPresence","ResidentFatherPresence","ResidentBiologicalParents","ParentMarried","ParentPartnered","HouseholdSize","NumberSiblings","BirthOrder","ParentAge","MotherEducation","FatherEducation","MotherOccupationPrestige","FatherOccupationPrestige","MotherWorkForPay","FatherWorkForPay","FamilyIncome","PublicAssistance","Welfare","EconomicHardship","FamilySocialSupport","SharedDinner","IntergenerationalClosure","ParentConnectionFriends","MotherRelationshipQuality","FatherRelationshipQuality","MotherSharedActivity","FatherSharedActivity","ParentPartnerRelationship","ParentControl","MotherSupervision","FatherSupervision","MotherInvolveSchool","FatherInvolveSchool","ParentPTA","MotherEducationExpectation","FatherEducationExpectation","MotherNativity","FatherNativity","ParentYearsInUS","ParentReligiosity","EnglishHome","ParentHealth","ParentSmoke","MotherAlcoholic","FatherAlcoholic","MotherObese","FatherObese","MotherDisable","FatherDisable","SmokerHousehold","DrugHousehold","FamilyAccessMedicalCare","ParentPreviousRelationship","NonresidentBioFatherDeceased","YearsLiveStepfather","BornToAdolescentParent","Sex","Age","Latinx","Black","NativeAmerican","AAPI","OtherRace","EmotionalAbuse","PhysicalAbuse","BioMotherIncarceration","BioFatherIncarceration","EducationAttainment"
"1","1","0","1","1",4,0,"2",48.895,8,14,3,1,"1","0",3.45242280190894,"0","0","0",3.75,7,1.4,3.39,5,5,4,2,-0.0806874619758187,0,2,3,1,0,"0",3,3,"1","1",48.8391666666667,3.1975,"1",3.25016666666667,"1","0","0","0","0","0","1","1","0",3.1,1.395,"0",7.569198,"0","1",18.5,"0","1","0","0","0",0,0,0,0,12
"1","0","0","0","1",5,3,"1",66,10,13.36908,5,3.347201,"1","0.929593",2.30258509299405,"1","1","0",4,7,2,6,4.8,4.243704,6,2.910392,0.131756333573896,6,3,1.100092,3,1.068472,"1",4,4.363035,"1","0.8700154",66,4,"1",5,"1","0","0.06048632","0","0.1127865","0","0.05724351","1","0",3,1,"0",7.569198,"0","0",18.5,"0","1","0","0","0",1,5,0,2,10
"1","0","0","0","0",3,1,"2",37,8,13.36908,1,3.347201,"0","0.929593",2.07944154167984,"0","0","1",3.75,6,1,3,4.2,4.243704,5,2.910392,-0.0005413742,3,3,1.100092,1,1.068472,"0",4.5,4.363035,"0","0.8700154",37,2.5,"1",1,"0","0","0.06048632","0","0.1127865","1","0.05724351","1","0",1,1,"1",7.569198,"0","0",14.25,"0","0","0","0","0",0,4,0,0,10
"1","0","0","0","1",3,1,"1",35,16,13.36908,5,3.347201,"1","0.929593",3.8286413964891,"0","0","0",4.5,7,2,6,4.6,4.243704,2,2.910392,0.532608135940035,4,1,1.100092,0,1.068472,"0",5,4.363035,"1","0.8700154",35,2.5,"1",4,"0","0","0.06048632","0","0.1127865","0","0.05724351","0","0",3,2,"1",7.569198,"0","0",14.1666666666667,"0","0","0","0","0",0,0,0,0,14
"1","0","0","0","1",7,3,"1",33,14,13.36908,5,3.347201,"1","0.929593",2.56494935746154,"1","1","0",4.25,5,3,2,4.6,4.243704,6,2.910392,-2.36775275845855,2,1,1.100092,3,1.068472,"1",4,4.363035,"1","0.8700154",33,4,"1",2,"0","0","0.06048632","1","0.1127865","0","0.05724351","1","0",3,2,"1",7.569198,"1","0",16.3333333333333,"0","1","0","0","0",0,0,0,2,14
"1","0","0","0","0",2,1,"3",41,12,13.36908,3,3.347201,"1","0.929593",3.2188758248682,"0","0","1",3.75,5,3,6,4.4,4.243704,8,2.910392,-0.0005413742,0,1,1.100092,2,1.068472,"0",5,4.363035,"1","0.8700154",41,4,"1",3,"1","0","0.06048632","0","0.1127865","0","0.05724351","1","0",4,3,"0",7.569198,"0","0",15.8333333333333,"0","0","0","0","0",1.275,0.27,0,0,8
"1","1","1","1","1",3,1,"1",35,16,12,5,3,"1","1",3.13549421592915,"0","0","1",4.25,7,4,3,4.8,4.6,5,2,-1.10494259439511,2,3,2,1,0,"1",5,5,"1","1",35,4,"1",3,"0","0","0","0","1","0","0","0","0",3,1,"0.7259314",7.569198,"0","1",12.5833333333333,"0","0","0","0","0",0,0,0,0,14
"1","1","1","1","1",2,0,"1",49,17,16,5,4,"1","1",4.70953020131233,"0","0","0",4.5,7,6,3,5,5,8,6,0.332182234756965,1,2,3,3,3,"0",5,5,"1","1",49,3.5,"1",4,"0","0","0","0","0","0","0","0","0",4,1,"0.7259314",7.569198,"0","1",16.25,"0","0","0","0","0",1,0,0,0,17
"1","1","1","1","1",3,1,"1",42,16,16,5,4,"1","1",4.33073334028633,"0","0","0",4.25,7,4,3,4.4,4.6,6,6,0.131756333573896,2,2,1,2,2,"1",4.5,4.5,"1","1",42,3.5,"1",5,"0","0","0","0","0","0","0","0","0",3,1,"0.7259314",7.569198,"0","0",12.6666666666667,"0","0","0","0","0",0,0,0,0,16
"0","0","0","1","1",0,0,"2",38.7,13.22558,13.36908,3.350598,3.347201,"0.7734247","0.929593",3.40344235789901,"0","0","0",2.5,4.608819,1,3.54,4.430109,4.243704,3.951984,2.910392,-0.293490071464587,1.807349,2.090406,1.100092,1.280745,1.068472,"0",4.341575,4.363035,"0.8798627","0.8700154",36.61,2.42897727272727,"1",3.59,"1","0.0141125","0.06048632","0.1901437","0.1127865","0.04313021","0.05724351","1","0",3.29,1.42,"1",7.569198,"0","0",18.8333333333333,"1","0","0","0","1",3.365,1.67,0,2,14
"1","1","1","1","1",3,1,"1",37,12,12,5,4,"1","1",3.84894096550536,"0","0","0",3.5,7,1,2,3.8,4,3,1,0.332182234756965,0,3,1,0,0,"0",4.5,5,"1","1",37,4,"1",3,"0","0","0","1","0","0","0","0","0",4,1,"0.7259314",7.569198,"0","1",18.9166666666667,"0","0","0","0","0",5,4,0,0,12
"1","1","1","1","1",2,0,"2",45,17,17,5,5,"1","1",4.61512051684126,"0","0","0",4.25,7,6,3,5,4.4,4,1,0.793288794088122,0,2,2,1,1,"1",4.5,4.5,"1","1",45,2.5,"1",5,"0","0","0","0","0","0","0","0","0",4,1,"0.7259314",7.569198,"0","1",15.9166666666667,"0","0","0","0","0",0,0,0,0,18
"1","0","0","0","0",3,2,"4",44,12,13.36908,2,3.347201,"1","0.929593",2.30258509299405,"0","0","1",3.75,7,1,3,4.8,4.243704,3,2.910392,-0.0005413742,2,1,1.100092,2,1.068472,"0",5,4.363035,"0","0.8700154",44,4,"0",2,"0","0","0.06048632","0","0.1127865","1","0.05724351","0","0",2,1,"1",7.569198,"0","1",14.5833333333333,"1","0","0","0","1",3,0,0,1,12
"1","1","1","1","1",4,2,"1",42,10,10,3,3,"1","1",3.04452243772342,"0","0","0",4.75,2,1,3,5,5,3,3,0.993714695271192,2,2,1,1,1,"1",4.5,4.5,"0","0",42,3.5,"1",4,"0","0","0","0","0","0","0","0","0",4,1,"0.7259314",7.569198,"0","1",13.5833333333333,"0","0","0","1","0",3,0,0,0,14
"1","0","0","0","0",3,2,"1",36,16,13.36908,4,3.347201,"1","0.929593",3.3322045101752,"0","1","0",4.25,7,0,6,4.4,4.243704,2,2.910392,-0.0005413742,3,3,1.100092,1,1.068472,"0",5,4.363035,"1","0.8700154",36,2,"1",5,"1","0","0.06048632","0","0.1127865","0","0.05724351","1","0",4,1,"1",7.569198,"0","0",14.4166666666667,"0","1","0","0","0",5,5,0,10,13
"1","1","0","1","1",6,4,"2",46,8,8,1,3,"0","1",1.09861228866811,"1","1","1",4.25,7,0,2,5,4.4,5,2,-0.583581278098937,2,3,2,2,1,"1",2.5,2.5,"0","0",46,3,"0",1,"1","0","0","1","0","0","0","1","0",4,2,"0",16.4166666666667,"0","0",16.4166666666667,"1","0","0","0","0",1,0,1,0,14
"1","0","0","0","0",1,0,"1",35,12,13.36908,4,3.347201,"1","0.929593",2.56494935746154,"0","0","0",3.75,4,6,3,5,4.243704,6,2.910392,-0.0005413742,5,2,1.100092,2,1.068472,"0",5,4.363035,"1","0.8700154",35,4,"1",4,"0","0","0.06048632","0","0.1127865","0","0.05724351","0","0",4,1,"1",7.569198,"0","0",13.75,"0","0","0","0","0",0,0,0,0,13
"1","1","1","1","1",4,2,"3",42,12,14,4,5,"1","1",4.61512051684126,"0","0","0",4.5,5,3,6,5,5,5,5,0.332182234756965,1,2,1,0,1,"1",3,3,"1","1",42,4,"1",5,"0","0","0","0","0","0","0","0","0",4,1,"0.7259314",7.569198,"0","1",13.4166666666667,"0","0","0","0","0",0,0,0,0,13
"1","1","1","1","1",4,2,"1",40,16,14,2,3,"1","1",4.33073334028633,"0","0","0",4.75,7,3,3,4.4,4.4,5,4,0.332182234756965,3,2,2,1,2,"1",5,5,"1","1",40,3,"1",3,"0","0","0","1","0","0","0","0","0",3,1,"0.7259314",7.569198,"0","1",15.25,"0","0","0","0","0",0,0,0,0,14
"1","0","0","0","0",2,1,"1",32,12.4022558,13.36908,2,3.347201,"1","0.929593",3.04452243772342,"1","1","0",3.75,2,2,3,3.8,4.243704,7,2.910392,-0.0005413742,3,3,1.100092,3,1.068472,"0",5,4.363035,"1","0.8700154",32,3.5,"1",4,"1","0","0.06048632","0","0.1127865","0","0.05724351","1","0",4,1,"1",7.569198,"0","1",13.4166666666667,"0","1","0","0","0",5,5,0,1.92,10
"1","0","0","0","0",6,4,"1",36.938,10,13.36908,2,3.347201,"0","0.929593",2.59662805409107,"1","1","0",4.5,3,1.31,3.63,5,4.243704,2,2.910392,-0.0548574784382915,2,2,1.100092,0,1.068472,"0",5,4.363035,"1","0.8700154",36.5525,3.24125,"1",3.1,"0","0","0.06048632","0","0.1127865","0","0.05724351","0","0",3.1,1.23333333333333,"1",7.569198,"0","1",15.0833333333333,"0","1","0","0","0",0,0,0,0,10
"0","1","0","0","0",4,2,"3",48,13.22558,12,3.350598,3,"0.7734247","1",3.3322045101752,"0","0","0",4.25,4,3,3,4.430109,4.6,3.951984,4,-0.0005413742,0,2.090406,1,1.280745,0,"0",4.341575,3,"0.8798627","1",48,2.5,"1",4,"1","0.0141125","0","0.1901437","1","0.04313021","0","1","0",4,1,"0.7259314",7.569198,"0","1",14.8333333333333,"0","0","0","0","0",0,0,0,0,8
"1","1","1","1","1",2,0,"1",50,16,12,1,3,"0","1",3.29583686600433,"0","0","0",4,7,6,3,5,4.4,4,2,0.993714695271192,0,3,1,2,2,"1",5,5,"0","1",13.5833333333333,4,"1",5,"1","0","0","0","0","0","0","1","0",3,1,"0.7259314",7.569198,"0","1",15,"0","0","0","1","0",1,2,0,0,14
"1","1","1","1","1",3,0,"1",51,13.0922558,14,1,3,"0","1",3.93182563272433,"0","0","1",2.5,2,5,6,2.4,2,4,4,-0.128924324574191,2,2,1,0,0,"0",2.5,4,"1","1",51,4,"1",5,"0","0","0","0","0","0","0","0","0",3,1,"0.7259314",7.569198,"0","0",13.75,"0","0","0","0","0",5,0,0,0,14
"1","1","1","1","1",2,0,"1",44,17,17,2,5,"1","1",4.61512051684126,"0","0","0",4.25,7,4,3,4,4.6,1,2,-0.128924324574191,3,3,1,0,0,"1",4.5,5,"1","1",44,2.5,"1",4,"0","0","0","0","0","0","0","0","0",4,1,"0.7259314",7.569198,"0","0",13.6666666666667,"0","0","0","0","0",1,0,0,0,16
"1","1","1","1","1",3,1,"2",40,16,16,4,4,"1","1",3.58351893845611,"0","0","0",4.25,7,2,3,5,4,1,0,0.332182234756965,0,2,0,0,0,"0",5,5,"1","1",40,4,"1",4,"0","0","0","0","0","0","0","1","0",3,1,"0.7259314",7.569198,"0","0",15.25,"0","0","0","0","0",0,0,0,0,16
"1","1","1","1","1",4,2,"3",43,8,8,3,3,"1","1",3.04452243772342,"0","0","1",5,7,2,3,5,5,4,2,0.131756333573896,7,3,1,2,2,"0",5,5,"0","0",43,3,"0",2,"0","0","0","0","0","0","0","0","0",4,1,"0.7259314",7.569198,"0","1",12.9166666666667,"1","0","0","0","1",0,0,0,0,13
"1","0","0","0","1",3,1,"1",38,10,13.36908,1,3.347201,"0","0.929593",2.39789527279837,"1","1","1",3.75,7,1,3,4.6,4.243704,5,2.910392,-1.76647505490934,1,2,1.100092,2,1.068472,"0",4,4.363035,"1","0.8700154",38,2.5,"1",2,"1","1","0.06048632","0","0.1127865","0","0.05724351","1","0",4,1,"1",7.569198,"0","0",16.8333333333333,"0","1","0","0","0",0,0,3,3,12
"1","1","1","1","1",4,2,"1",43,16,16,5,5,"1","1",4.26267987704132,"0","0","0",4.25,7,2,3,4.6,4.4,4,4,0.532608135940035,0,0,2,2,2,"1",4,4,"0","0",43,3.5,"1",4,"0","0","0","0","0","0","0","0","0",3,1.04,"0.7259314",7.569198,"0","1",14.8333333333333,"0","0","0","1","0",0,0,0,0,16
"1","1","0","1","1",1,0,"4",47.6,16,13.1723816,2,2.95347201,"0","1",3.78195791515389,"0","0","0",4.5,2,1.79,3.72,4.6,3,3.53615872,2.24731176,-0.00477997985128253,0,2,0,1.3412298,0.78136944,"0",5,4.52089105,"1","1",46.63,3.37,"1",3.55,"0","0","0","0","0","0","0","0","0",3.7,1.42,"0",7.569198,"0","0",18.9166666666667,"0","1","0","0","0",0,0,0,0,12
"1","1","1","1","1",3,1,"1",52,17,17,5,5,"1","1",4.07753744390572,"0","0","1",4.5,7,4,3,5,5,7,6,0.131756333573896,1,2,2,3,2,"1",5,5,"1","1",52,3.5,"1",5,"0","0","0","0","0","0","0","0","1",4,1,"0.7259314",7.569198,"0","0",12.8333333333333,"1","0","1","0","1",0,0,0,1,20
"1","0","0","0","1",1,0,"1",38,12,13.36908,3,3.347201,"1","0.929593",2.39789527279837,"0","1","1",3.5,5,0,5,3.4,4.243704,3,2.910392,-0.474879766422562,6,1,1.100092,0,1.068472,"0",1,4.363035,"1","0.8700154",38,3,"1",1,"1","0","0.06048632","1","0.1127865","0","0.05724351","1","0",2,1,"1",7.569198,"0","0",17.8333333333333,"1","1","1","0","1",2,0,2,4,12
"0","0","0","1","1",1,0,"1",38.9742857142857,13.22558,13.36908,3.350598,3.347201,"0.7734247","0.929593",3.77011796391119,"0","0","0",4,4.608819,1.375,3.51428571428571,4.430109,4.243704,3.951984,2.910392,-0.00892202509530037,1.807349,2.090406,1.100092,1.280745,1.068472,"0",4.341575,4.363035,"0.8798627","0.8700154",39.1,3.086,"1",3.70333333333333,"0","0.0141125","0.06048632","0.1901437","0.1127865","0.04313021","0.05724351","0","1",3.66,1.34,"1",7.569198,"0","1",18.5,"0","0","0","0","0",4,0,0,0,14
"1","0","0","1","1",3,1,"1",45,11.73,13.36908,1,3.347201,"0","0.929593",2.70805020110221,"0","1","0",4.75,7,2,6,4.4,4.243704,2,2.910392,-1.90664619912739,1,2,1.100092,1,1.068472,"0",5,4.363035,"1","0.8700154",45,3,"1",2,"1","0","0.06048632","0","0.1127865","0","0.05724351","1","0",4,2,"0",7.569198,"0","1",13.5833333333333,"0","1","1","0","0",0,0,0,0,10
"1","1","0","1","1",4,1,"1",34,10,12.2636908,3,3.20347201,"1","1",3.78418963391826,"0","0","0",4.75,7,1,3,5,4.4,4,3,-0.128924324574191,2,3,0,2,3,"0",5,5,"1","1",34,2,"1",5,"0","0","0","0","0","0","0","1","0",4,2,"1",11,"0","0",14.5,"0","0","0","0","0",1,0,0,3,14
"1","1","1","1","1",5,3,"4",49,12.6245116,12.7073816,2,2,"1","1",3.61091791264422,"0","0","0",5,7,2,1,5,5,2,2,0.993714695271192,6,1,2,0,1,"1",4.5,5,"0","0",49,4,"1",4,"0","0","0","0","0","0","0","0","0",4,1,"0.7259314",7.569198,"0","0",13.25,"0","0","0","1","0",0,0,0,0,14
"1","1","1","1","1",3,1,"1",42,17,16,5,5,"1","1",4.94875989037817,"0","0","0",2.25,5,1,6,2.8,3.8,2,2,0.332182234756965,2,3,3,1,1,"0",5,5,"1","1",42,2.5,"1",4,"0","0","0","0","0","0","0","1","0",3,1,"0.7259314",7.569198,"0","1",16.25,"0","0","0","0","0",3,3,0,0,20
"1","1","0","0","1",4,2,"1",39,14,10,5,3,"0","1",3.04452243772342,"1","1","0",3.25,5,0,3,4.6,3.8,2,1,-0.179153228984512,1,3,2,1,0,"1",5,5,"1","1",39,2,"1",3,"0","0","0","0","0","0","0","1","0",3,2,"1",4,"0","0",16.8333333333333,"0","0","0","0","0",0,0,0,0,13
"1","0","0","0","0",2,1,"4",47,12,13.36908,1,3.347201,"0","0.929593",3.43398720448515,"0","0","1",3.75,5,2,3,4.2,4.243704,5,2.910392,-0.0005413742,0,3,1.100092,2,1.068472,"1",5,4.363035,"1","0.8700154",47,4,"1",3,"1","0","0.06048632","0","0.1127865","0","0.05724351","1","0",4,1,"1",7.569198,"0","0",17.4166666666667,"0","0","0","0","0",0,0,0,0,10
"1","1","1","1","1",4,2,"1",33,16,17,1,5,"0","1",4.51085950651685,"0","0","0",4.75,7,4,3,5,5,10,7,-0.329350225757261,1,3,1,3,2,"1",5,5,"0","1",33,3.5,"1",5,"0","0","0","0","0","0","0","0","0",4,1,"0.7259314",7.569198,"0","1",14.0833333333333,"0","0","0","0","0",0,0,0,0,16
"1","1","1","1","1",4,2,"2",36.66,12,10,3,2,"1","1",3.55753995212152,"0","0","0",5,0,2,3.76,4.6,5,5,3,0.164063409401153,5,3,3,2,2,"0",3,5,"1","1",36.432,2.75,"1",3.54,"1","0","0","0","0","0","0","1","0",3.51,1.04,"0.7259314",7.569198,"0","0",15.5,"0","0","0","1","0",0,0,0,0,12
"0","0","0","1","1",2,0,"1",38.96,13.22558,13.36908,3.350598,3.347201,"0.7734247","0.929593",3.2345508048888,"0","0","0",3,4.608819,1.11,3.64,4.430109,4.243704,3.951984,2.910392,-0.222941044781856,1.807349,2.090406,1.100092,1.280745,1.068472,"0",4.341575,4.363035,"0.8798627","0.8700154",38.2825,2.28397727272727,"1",3.415,"1","0.0141125","0.06048632","0.1901437","0.1127865","0.04313021","0.05724351","1","0",3.055,1.59,"0",7.569198,"0","1",18.6666666666667,"0","0","0","0","0",3,0,1,2,12
"1","0","0","0","1",3,1,"4",55,11.24,13.36908,1,3.347201,"0","0.929593",2.60197125522452,"1","1","0",4.25,7,1,6,4.8,4.243704,3,2.910392,0.592862892905053,4,3,1.100092,1,1.068472,"0",5,4.363035,"1","0.8700154",55,2.5,"1",5,"1","0","0.06048632","0","0.1127865","0","0.05724351","1","0",1,2,"0",7.569198,"0","0",15.1666666666667,"0","0","0","0","0",0,0,0,0,10
